"Location","Date","Depth","Elevation","Density","RD"
"BURNS LAKE",2013-04-03,56,820,20,"Bulkley-Nechako"
"FORBIDDEN PLATEAU",2013-04-03,319,1110,48,"Comox Valley"
"FORT ST. JOHN AIRPORT",2013-04-03,56,692,28,"Peace River"
"BRALORNE (UPPER)",2013-04-25,149,1980,38,"Squamish-Lillooet"
"BUSH RIVER",2013-04-25,212,1982,44,"Columbia-Shuswap"
"DOWNIE SLIDE (UPPER)",2013-04-25,351,1628,46,"Columbia-Shuswap"
"FLOE LAKE",2013-04-26,227,2087,43,"East Kootenay"
"MOUNT ASSINIBOINE",2013-04-26,172,2230,37,"East Kootenay"
"GRAY CREEK (LOWER)",2013-04-26,117,1558,38,"Central Kootenay"
"ESPERON CR (UPPER)",2013-04-26,117,1634,37,"Central Okanagan"
"MACDONALD LAKE",2013-04-26,133,1742,31,"Central Okanagan"
"HEATHER MOUNTAIN",2013-04-26,179,1170,51,"Columbia-Shuswap"
"TROPHY MOUNTAIN",2013-04-27,185,1907,38,"Thompson-Nicola"
"BOULEAU LAKE",2013-04-27,73,1405,44,"North Okanagan"
"ANGLEMONT",2013-04-28,41,1168,43,"Columbia-Shuswap"
"SILVER STAR MOUNTAIN",2013-04-28,217,1834,45,"North Okanagan"
"MOUNT KOBAU",2013-04-28,128,1817,40,"Okanagan-Similkameen"
"JADE CITY",2013-04-28,123,943,24,"Kitimat-Stikine"
"LONGWORTH (UPPER)",2013-04-29,321,1693,43,"Fraser-Fort George"
"KNUDSEN LAKE",2013-04-29,261,1598,41,"Fraser-Fort George"
"MOUNT ABBOT",2013-04-29,317,2031,44,"Columbia-Shuswap"
"CHAPMAN LAKE",2013-04-29,126,1485,36,"Sunshine Coast"
"MCKENDRICK CREEK",2013-04-29,76,1048,34,"Bulkley-Nechako"
"MOUNT CRONIN",2013-04-29,158,1491,37,"Bulkley-Nechako"
"ENDERBY",2013-04-30,314,1948,44,"North Okanagan"
"MISSEZULA MOUNTAIN",2013-04-30,67,1602,27,"Okanagan-Similkameen"
"GERMANSEN (UPPER)",2013-04-30,119,1489,31,"Bulkley-Nechako"
"TRYGVE LAKE",2013-04-30,114,1409,33,"Peace River"
"PHILIP LAKE",2013-04-30,76,1013,36,"Thompson-Nicola"
"EQUITY MINE",2013-04-30,117,1434,33,"Bulkley-Nechako"
"MOUNT WELLS",2013-05-01,126,1489,37,"Bulkley-Nechako"
"MOUNT SWANNELL",2013-05-01,98,1596,31,"Bulkley-Nechako"
"PENFOLD CREEK",2013-05-01,274,1687,43,"Cowichan Valley"
"WHATSHAN (UPPER)",2013-05-01,125,1476,45,"Central Kootenay"
"LOST HORSE MOUNTAIN",2013-05-01,99,1988,31,"Okanagan-Similkameen"
"LADY LAURIER LAKE",2013-05-01,151,1446,33,"Peace River"
"MOUNT STEARNS",2013-05-01,71,1514,20,"Peace River"
"SIKANNI LAKE",2013-05-01,93,1390,28,"Peace River"
"ATLIN LAKE",2013-05-01,60,NA,21,"Kitimat-Stikine"
"FORBIDDEN PLATEAU",2013-05-02,255,1110,56,"Comox Valley"
"TELEGRAPH CREEK",2013-05-07,0,490,NA,"Kitimat-Stikine"
"GRAY CREEK (LOWER)",2013-05-31,20,1558,47,"Central Kootenay"
"PUNTZI MOUNTAIN",2013-12-29,32,939,16,"Cariboo"
"BIG CREEK",2013-12-30,35,1130,19,"Cariboo"
"BLUE RIVER",2013-12-30,89,673,20,"Thompson-Nicola"
"TERRACE AIRPORT",2013-12-30,21,219,28,"Kitimat-Stikine"
"DEASE LAKE",2013-12-31,83,805,20,"Kitimat-Stikine"
"MC LEOD LAKE",2014-01-05,101,980,21,"Fraser-Fort George"
"TROUT CREEK",2014-01-26,54,1428,28,"Okanagan-Similkameen"
"TROUT CREEK (WEST)",2014-01-26,47,1430,30,"Okanagan-Similkameen"
"DOWNTOWN LAKE (UPPER)",2014-01-27,83,1884,25,"Squamish-Lillooet"
"GLACIER",2014-01-27,137,1249,35,"Columbia-Shuswap"
"THUNDER CREEK",2014-01-27,73,2062,26,"East Kootenay"
"TROUT CREEK (WEST)",2014-01-27,80,1430,23,"Okanagan-Similkameen"
"NINGUNSAW PASS",2014-01-28,90,647,27,"Kitimat-Stikine"
"TACHEK CREEK",2014-01-31,71,1133,24,"Bulkley-Nechako"
"ANGLEMONT",2014-02-23,120,1168,34,"Columbia-Shuswap"
"GLACIER",2014-02-23,196,1249,32,"Columbia-Shuswap"
"VASEUX CREEK",2014-02-23,73,1403,20,"Okanagan-Similkameen"
"SULLIVAN MINE",2014-02-24,112,1580,24,"East Kootenay"
"BLUEJOINT MOUNTAIN",2014-02-25,148,1990,29,"Kootenay Boundary"
"CHAPMAN LAKE",2014-02-25,109,1485,31,"Sunshine Coast"
"MCKENDRICK CREEK",2014-02-25,95,1048,28,"Bulkley-Nechako"
"CARMI",2014-02-26,51,1254,18,"Kootenay Boundary"
"BURNS LAKE",2014-02-26,57,820,21,"Bulkley-Nechako"
"BIG CREEK",2014-02-26,34,1130,24,"Cariboo"
"ABERDEEN LAKE",2014-02-26,71,1262,23,"North Okanagan"
"FERGUSON",2014-02-26,179,929,29,"Columbia-Shuswap"
"SUMMERLAND RESERVOIR",2014-02-26,95,1304,24,"Okanagan-Similkameen"
"PALISADE LAKE",2014-02-26,202,898,31,"Greater Vancouver"
"DOG MOUNTAIN",2014-02-26,177,1007,32,"Greater Vancouver"
"PHILIP LAKE",2014-02-26,90,1013,25,"Thompson-Nicola"
"PACIFIC LAKE",2014-02-27,253,756,34,"Fraser-Fort George"
"FARRON",2014-02-27,91,1229,25,"Central Kootenay"
"TROUT CREEK",2014-02-27,88,1428,24,"Okanagan-Similkameen"
"HAMILTON HILL",2014-02-27,114,1477,24,"Okanagan-Similkameen"
"FORBIDDEN PLATEAU",2014-02-27,229,1110,28,"Comox Valley"
"ELK RIVER",2014-02-27,32,270,29,"Central Kootenay"
"UPPER THELWOOD LAKE",2014-02-27,220,1014,30,"Strathcona"
"WOLF RIVER (MIDDLE)",2014-02-27,113,1050,22,"Strathcona"
"WOLF RIVER (LOWER)",2014-02-27,92,615,24,"Strathcona"
"WEDEENE RIVER SOUTH",2014-02-27,107,196,27,"Kitimat-Stikine"
"TERRACE AIRPORT",2014-02-27,27,219,21,"Kitimat-Stikine"
"PRINCE GEORGE AIRPORT",2014-02-28,68,684,24,"Fraser-Fort George"
"BROOKMERE",2014-02-28,63,994,22,"Thompson-Nicola"
"PUNTZI MOUNTAIN",2014-02-28,29,939,22,"Cariboo"
"LAC LE JEUNE (UPPER)",2014-02-28,47,1471,21,"Thompson-Nicola"
"SHOVELNOSE MOUNTAIN",2014-02-28,96,1456,24,"Thompson-Nicola"
"KICKING HORSE",2014-02-28,184,1648,17,"Columbia-Shuswap"
"DUNCAN LAKE NO. 2",2014-02-28,59,662,30,"Bulkley-Nechako"
"MCCULLOCH",2014-02-28,74,1266,21,"Central Okanagan"
"OYAMA LAKE",2014-02-28,67,1365,19,"Central Okanagan"
"MISSEZULA MOUNTAIN",2014-02-28,100,1602,25,"Okanagan-Similkameen"
"SUMALLO RIVER WEST",2014-02-28,107,801,25,"Fraser Valley"
"KLESILKWA",2014-02-28,100,1134,25,"Fraser Valley"
"NINGUNSAW PASS",2014-02-28,108,647,31,"Kitimat-Stikine"
"BEAR PASS",2014-02-28,171,437,36,"Kitimat-Stikine"
"PAVILION",2014-03-01,35,1209,7,"Thompson-Nicola"
"DEADMAN RIVER",2014-03-01,68,1463,21,"Thompson-Nicola"
"BLUE RIVER",2014-03-01,128,673,30,"Thompson-Nicola"
"LIGHTNING LAKE",2014-03-01,100,1254,24,"Okanagan-Similkameen"
"SANDON",2014-03-02,110,1072,27,"Central Kootenay"
"NELSON",2014-03-03,111,952,24,"Central Kootenay"
"TELEGRAPH CREEK",2014-03-03,81,490,27,"Kitimat-Stikine"
"HANSARD",2014-03-04,99,622,26,"Fraser-Fort George"
"FORT ST. JOHN AIRPORT",2014-03-04,66,692,20,"Peace River"
"FORT NELSON AIRPORT",2014-03-04,47,368,22,"Northern Rockies"
"MOUNT TIMOTHY",2014-03-26,121,1632,29,"Cariboo"
"GRANITE MOUNTAIN",2014-03-26,85,1175,29,"Kootenay Boundary"
"CANOE RIVER",2014-03-26,65,866,30,"Fraser-Fort George"
"FIDELITY MOUNTAIN",2014-03-26,360,1852,38,"Columbia-Shuswap"
"TROUT CREEK",2014-03-26,87,1428,29,"Okanagan-Similkameen"
"TROUT CREEK (WEST)",2014-03-26,74,1430,29,"Okanagan-Similkameen"
"WHITEROCKS MOUNTAIN",2014-03-26,140,1789,32,"Central Okanagan"
"ISINTOK LAKE",2014-03-26,79,1651,21,"Okanagan-Similkameen"
"ESPERON CR (UPPER)",2014-03-26,108,1634,30,"Central Okanagan"
"ESPERON CR (MIDDLE)",2014-03-26,94,1440,27,"Central Okanagan"
"LONGWORTH (UPPER)",2014-03-27,311,1693,41,"Fraser-Fort George"
"CAVERHILL LAKE NEW",2014-03-27,93,NA,26,"Thompson-Nicola"
"BRENDA MINE",2014-03-27,99,1453,28,"Central Okanagan"
"MACDONALD LAKE",2014-03-27,123,1742,29,"Central Okanagan"
"MORFEE MOUNTAIN",2014-03-27,230,1427,41,"Fraser-Fort George"
"DEASE LAKE",2014-03-27,80,805,24,"Kitimat-Stikine"
"JADE CITY",2014-03-27,98,943,29,"Kitimat-Stikine"
"ISKUT",2014-03-27,42,931,26,"Kitimat-Stikine"
"KAZA LAKE",2014-03-28,117,1247,30,"Kitimat-Stikine"
"HIGHLAND VALLEY",2014-03-28,43,1457,24,"Thompson-Nicola"
"GNAWED MOUNTAIN",2014-03-28,55,1617,25,"Thompson-Nicola"
"GREYBACK RESERVOIR",2014-03-28,93,1548,27,"Okanagan-Similkameen"
"MOUNT COKELY",2014-03-28,135,1267,40,"Nanaimo"
"TUTIZZI LAKE",2014-03-28,93,1043,25,"Peace River"
"TSAYDAYCHI LAKE",2014-03-28,120,1173,30,"Bulkley-Nechako"
"TACHEK CREEK",2014-03-28,86,1133,27,"Bulkley-Nechako"
"EQUITY MINE",2014-03-28,128,1434,26,"Bulkley-Nechako"
"LU LAKE",2014-03-28,107,1296,24,"Bulkley-Nechako"
"HORSEFLY MOUNTAIN",2014-03-29,176,1612,37,"Cariboo"
"SINCLAIR PASS",2014-03-29,61,1374,24,"East Kootenay"
"BOULEAU LAKE",2014-03-29,91,1405,23,"North Okanagan"
"WARE (LOWER)",2014-03-29,79,969,27,"Peace River"
"LADY LAURIER LAKE",2014-03-29,151,1446,31,"Peace River"
"SIKANNI LAKE",2014-03-29,103,1390,28,"Peace River"
"KNOUFF LAKE",2014-03-30,52,1189,32,"Thompson-Nicola"
"NINGUNSAW PASS",2014-03-30,109,647,29,"Kitimat-Stikine"
"BIRD CREEK",2014-03-31,73,1196,25,"Bulkley-Nechako"
"MOUNT WELLS",2014-03-31,144,1489,30,"Bulkley-Nechako"
"TAHTSA LAKE",2014-03-31,257,1319,35,"Bulkley-Nechako"
"MOUNT SWANNELL",2014-03-31,105,1596,26,"Bulkley-Nechako"
"NUTLI LAKE",2014-03-31,136,1502,30,"Bulkley-Nechako"
"MCGILLIVRAY PASS",2014-03-31,138,1715,28,"Squamish-Lillooet"
"BRALORNE",2014-03-31,60,1382,27,"Squamish-Lillooet"
"DUFFEY LAKE",2014-03-31,147,1253,36,"Squamish-Lillooet"
"BRALORNE (UPPER)",2014-03-31,150,1980,30,"Squamish-Lillooet"
"BRIDGE GLACIER (LOWER)",2014-03-31,139,1393,27,"Squamish-Lillooet"
"TYAUGHTON CREEK (NORTH)",2014-03-31,114,1946,26,"Squamish-Lillooet"
"ENDERBY",2014-03-31,306,1948,37,"North Okanagan"
"FIELD",2014-03-31,85,1310,30,"East Kootenay"
"POSTILL LAKE",2014-03-31,72,1358,30,"Central Okanagan"
"POSTILL LAKE (UPPER)",2014-03-31,83,1500,27,"Central Okanagan"
"POWELL RIVER (UPPER)",2014-03-31,203,1002,40,"Powell River"
"POWELL RIVER (LOWER)",2014-03-31,145,882,40,"Powell River"
"ORCHID LAKE",2014-03-31,347,1178,39,"Greater Vancouver"
"CALLAGHAN CREEK",2014-03-31,177,1009,40,"Squamish-Lillooet"
"KIDPRICE LAKE",2014-03-31,203,1415,34,"Bulkley-Nechako"
"HUDSON BAY MTN.",2014-03-31,146,1452,32,"Bulkley-Nechako"
"CHAPMAN LAKE",2014-03-31,127,1485,31,"Sunshine Coast"
"MCKENDRICK CREEK",2014-03-31,102,1048,30,"Bulkley-Nechako"
"MONASHEE PASS",2014-04-01,115,1387,33,"North Okanagan"
"STAVE LAKE",2014-04-01,296,1211,41,"Fraser Valley"
"NAHATLATCH RIVER",2014-04-01,305,1530,36,"Fraser Valley"
"DICKSON LAKE",2014-04-01,332,1147,43,"Fraser Valley"
"GOLDSTREAM",2014-04-01,324,1914,36,"Capital"
"KEYSTONE CREEK",2014-04-01,210,1839,33,"Columbia-Shuswap"
"SUNBEAM LAKE",2014-04-01,269,2066,34,"Columbia-Shuswap"
"BUSH RIVER",2014-04-01,232,1982,34,"Columbia-Shuswap"
"DOWNIE SLIDE (LOWER)",2014-04-01,228,964,39,"Columbia-Shuswap"
"DOWNIE SLIDE (UPPER)",2014-04-01,365,1628,38,"Columbia-Shuswap"
"WHATSHAN (UPPER)",2014-04-01,188,1476,36,"Central Kootenay"
"BARNES CREEK",2014-04-01,164,1598,34,"North Okanagan"
"ST. LEON CREEK",2014-04-01,366,1828,37,"Central Kootenay"
"FERNIE EAST",2014-04-01,116,1213,36,"East Kootenay"
"GRAY CREEK (LOWER)",2014-04-01,167,1558,33,"Central Kootenay"
"CHAR CREEK",2014-04-01,150,1290,35,"Central Kootenay"
"ISLAHT LAKE",2014-04-01,94,1492,20,"Central Okanagan"
"LOST HORSE MOUNTAIN",2014-04-01,103,1988,28,"Okanagan-Similkameen"
"GROUSE MOUNTAIN",2014-04-01,199,1126,42,"Greater Vancouver"
"SUMMIT LAKE",2014-04-01,59,1291,26,"Central Kootenay"
"ATLIN LAKE",2014-04-01,50,NA,25,"Kitimat-Stikine"
"BEAVERFOOT",2014-04-02,94,1924,30,"Columbia-Shuswap"
"VERMONT CREEK",2014-04-02,139,1533,32,"Columbia-Shuswap"
"RECORD MOUNTAIN",2014-04-02,176,1906,29,"Kootenay Boundary"
"MOUNT ASSINIBOINE",2014-04-02,181,2230,30,"East Kootenay"
"MOUNT JOFFRE",2014-04-02,167,1763,29,"East Kootenay"
"THUNDER CREEK",2014-04-02,127,2062,29,"East Kootenay"
"HEATHER MOUNTAIN",2014-04-02,234,NA,39,"Columbia-Shuswap"
"WEDEENE RIVER SOUTH",2014-04-02,92,196,37,"Kitimat-Stikine"
"NAZKO",2014-04-03,44,1029,29,"Cariboo"
"GRAYSTOKE LAKE",2014-04-04,123,1818,32,"Central Okanagan"
"MOUNT ABBOT",2014-04-05,347,2031,34,"Columbia-Shuswap"
"GLACIER",2014-04-06,214,1249,38,"Columbia-Shuswap"
"ADAMS RIVER",2014-04-26,206,1769,38,"Columbia-Shuswap"
"TROPHY MOUNTAIN",2014-04-26,191,1907,36,"Thompson-Nicola"
"GLACIER",2014-04-27,175,1249,46,"Columbia-Shuswap"
"MOUNT KOBAU",2014-04-27,80,1817,28,"Okanagan-Similkameen"
"NINGUNSAW PASS",2014-04-27,68,647,41,"Kitimat-Stikine"
"KNUDSEN LAKE",2014-04-28,253,1598,44,"Fraser-Fort George"
"DOWNTOWN LAKE (UPPER)",2014-04-28,161,1884,34,"Squamish-Lillooet"
"PINE PASS",2014-04-28,309,1439,43,"Peace River"
"MOUNT SHEBA",2014-04-28,258,1480,42,"Fraser-Fort George"
"BIG WHITE MOUNTAIN",2014-04-29,149,1672,35,"Kootenay Boundary"
"GRAY CREEK (UPPER)",2014-04-29,244,1926,38,"Central Kootenay"
"TROUT CREEK",2014-04-29,50,1428,34,"Okanagan-Similkameen"
"TROUT CREEK (WEST)",2014-04-29,55,1430,38,"Okanagan-Similkameen"
"WEDEENE RIVER SOUTH",2014-04-29,17,196,27,"Kitimat-Stikine"
"GERMANSEN (UPPER)",2014-04-29,128,1489,30,"Bulkley-Nechako"
"FREDRICKSON LAKE",2014-04-29,99,1323,31,"Peace River"
"TRYGVE LAKE",2014-04-29,110,1409,35,"Peace River"
"JOHANSON LAKE",2014-04-29,108,1480,34,"Kitimat-Stikine"
"WAHLEACH LAKE",2014-04-30,170,1395,42,"Fraser Valley"
"FLOE LAKE",2014-04-30,242,2087,37,"East Kootenay"
"MOUNT TEMPLEMAN",2014-04-30,292,1879,40,"Central Kootenay"
"SILVER STAR MOUNTAIN",2014-04-30,222,1834,39,"North Okanagan"
"WARE (UPPER)",2014-04-30,108,1563,30,"Peace River"
"PULPIT LAKE",2014-04-30,137,1331,38,"Peace River"
"MONKMAN CREEK",2014-04-30,177,1566,40,"Fraser-Fort George"
"MOUNT STEARNS",2014-04-30,69,1514,28,"Peace River"
"CHAPMAN LAKE",2014-04-30,121,1485,35,"Sunshine Coast"
"MCKENDRICK CREEK",2014-04-30,75,1048,32,"Bulkley-Nechako"
"MOUNT CRONIN",2014-04-30,156,1491,32,"Bulkley-Nechako"
"PENFOLD CREEK",2014-05-01,252,1687,44,"Cowichan Valley"
"KIRBYVILLE LAKE",2014-05-01,318,1739,42,"Columbia-Shuswap"
"KOCH CREEK",2014-05-01,176,1813,39,"Central Kootenay"
"MOUNT COKELY",2014-05-07,107,1267,46,"Nanaimo"
"TROUT CREEK (WEST)",2014-05-14,17,1430,35,"Okanagan-Similkameen"
"SKINS LAKE",2014-12-22,34,890,16,"Bulkley-Nechako"
"TROUT CREEK (WEST)",2014-12-28,41,1430,17,"Okanagan-Similkameen"
"HEDRICK LAKE",2014-12-29,92,1124,24,"Fraser-Fort George"
"GLACIER",2014-12-29,97,1250,27,"Columbia-Shuswap"
"BURNS LAKE",2015-01-06,58,800,14,"Bulkley-Nechako"
"GRAYSTOKE LAKE",2015-01-08,89,1840,20,"Central Okanagan"
"GLACIER",2015-01-26,137,1250,31,"Columbia-Shuswap"
"FERGUSON",2015-01-26,166,880,24,"Columbia-Shuswap"
"BIG CREEK",2015-01-28,32,1140,25,"Cariboo"
"NELSON",2015-01-28,61,930,27,"Central Kootenay"
"TROUT CREEK (WEST)",2015-01-28,56,1430,26,"Okanagan-Similkameen"
"GREYBACK RESERVOIR",2015-01-28,72,1550,24,"Okanagan-Similkameen"
"GROUSE MOUNTAIN",2015-01-28,22,1100,41,"Greater Vancouver"
"DOG MOUNTAIN",2015-01-28,18,1080,43,"Greater Vancouver"
"FORBIDDEN PLATEAU",2015-01-28,65,1100,36,"Comox Valley"
"ELK RIVER",2015-01-28,0,270,NA,"Central Kootenay"
"WOLF RIVER (MIDDLE)",2015-01-28,24,990,17,"Strathcona"
"WOLF RIVER (LOWER)",2015-01-28,0,640,NA,"Strathcona"
"STAVE LAKE",2015-01-29,72,1250,36,"Fraser Valley"
"NAHATLATCH RIVER",2015-01-29,107,1550,36,"Fraser Valley"
"DICKSON LAKE",2015-01-29,34,1160,36,"Fraser Valley"
"FIELD",2015-01-29,54,1285,27,"East Kootenay"
"FARRON",2015-01-29,66,1220,26,"Central Kootenay"
"FERNIE EAST",2015-01-29,57,1250,29,"East Kootenay"
"GRAY CREEK (LOWER)",2015-01-29,82,1550,28,"Central Kootenay"
"POSTILL LAKE",2015-01-29,50,1370,28,"Central Okanagan"
"POSTILL LAKE (UPPER)",2015-01-29,43,NA,32,"Central Okanagan"
"HAMILTON HILL",2015-01-29,59,1490,29,"Okanagan-Similkameen"
"SUMALLO RIVER WEST",2015-01-29,10,790,29,"Fraser Valley"
"KLESILKWA",2015-01-29,4,1175,25,"Fraser Valley"
"SKINS LAKE",2015-01-30,67,890,22,"Bulkley-Nechako"
"PAVILION",2015-01-30,14,1230,29,"Thompson-Nicola"
"BRALORNE",2015-01-30,28,1389,26,"Squamish-Lillooet"
"PUNTZI MOUNTAIN",2015-01-30,36,940,23,"Cariboo"
"LAC LE JEUNE (UPPER)",2015-01-30,42,1509,20,"Thompson-Nicola"
"SHOVELNOSE MOUNTAIN",2015-01-30,52,1450,28,"Thompson-Nicola"
"DOWNTON LAKE (UPPER)",2015-01-30,156,1887,36,"Squamish-Lillooet"
"ANGLEMONT",2015-01-30,70,1190,36,"Columbia-Shuswap"
"DUNCAN LAKE NO. 2",2015-01-30,46,630,30,"Bulkley-Nechako"
"ISLAHT LAKE",2015-01-30,68,1480,27,"Central Okanagan"
"MISSEZULA MOUNTAIN",2015-01-30,51,1550,26,"Okanagan-Similkameen"
"ORCHID LAKE",2015-01-30,72,1190,38,"Greater Vancouver"
"CALLAGHAN CREEK",2015-01-30,48,1040,33,"Squamish-Lillooet"
"FORT NELSON AIRPORT",2015-01-30,32,380,14,"Northern Rockies"
"JADE CITY",2015-01-30,67,NA,21,"Kitimat-Stikine"
"VASEUX CREEK",2015-01-31,44,1400,24,"Okanagan-Similkameen"
"CHAR CREEK",2015-02-01,82,1310,27,"Central Kootenay"
"MCCULLOCH",2015-02-01,53,1280,27,"Central Okanagan"
"KNOUFF LAKE",2015-02-02,46,1200,27,"Thompson-Nicola"
"BURNS LAKE",2015-02-02,79,800,20,"Bulkley-Nechako"
"BLUE RIVER",2015-02-02,99,670,22,"Thompson-Nicola"
"OYAMA LAKE",2015-02-02,60,1340,15,"Central Okanagan"
"HUDSON BAY MTN.",2015-02-02,160,1480,25,"Bulkley-Nechako"
"BIG WHITE MOUNTAIN",2015-02-03,110,1680,25,"Kootenay Boundary"
"GRANITE MOUNTAIN",2015-02-03,62,1150,25,"Kootenay Boundary"
"ABERDEEN LAKE",2015-02-03,64,1310,28,"North Okanagan"
"MOUNT JOFFRE",2015-02-03,84,1750,26,"East Kootenay"
"BIRD CREEK",2015-02-04,102,1180,22,"Bulkley-Nechako"
"MOUNT SWANNELL",2015-02-04,136,1620,26,"Bulkley-Nechako"
"CANOE RIVER",2015-02-04,47,870,26,"Fraser-Fort George"
"SILVER STAR MOUNTAIN",2015-02-05,167,1840,31,"North Okanagan"
"PRINCE GEORGE AIRPORT",2015-02-06,62,689,20,"Fraser-Fort George"
"SUMMERLAND RESERVOIR",2015-02-06,76,1280,25,"Okanagan-Similkameen"
"ISINTOK LAKE",2015-02-06,51,1680,25,"Okanagan-Similkameen"
"GRAYSTOKE LAKE",2015-02-10,81,1840,27,"Central Okanagan"
"CAVERHILL LAKE NEW",2015-02-23,62,NA,30,"Thompson-Nicola"
"UPPER THELWOOD LAKE",2015-02-23,0,990,NA,"Strathcona"
"LONGWORTH (UPPER)",2015-02-24,223,1693,38,"Fraser-Fort George"
"PACIFIC LAKE",2015-02-24,112,755,35,"Fraser-Fort George"
"BEAVERFOOT",2015-02-24,60,1890,25,"Columbia-Shuswap"
"VERMONT CREEK",2015-02-24,88,1520,30,"Columbia-Shuswap"
"MOUNT JOFFRE",2015-02-24,100,1750,29,"East Kootenay"
"MOUNT TEMPLEMAN",2015-02-24,220,1860,37,"Central Kootenay"
"PALISADE LAKE",2015-02-24,0,880,NA,"Greater Vancouver"
"MORFEE MOUNTAIN",2015-02-24,183,1430,37,"Fraser-Fort George"
"TACHEK CREEK",2015-02-24,61,1140,35,"Bulkley-Nechako"
"LU LAKE",2015-02-24,111,1300,30,"Bulkley-Nechako"
"DOWNTON LAKE (UPPER)",2015-02-25,192,1887,36,"Squamish-Lillooet"
"TYAUGHTON CREEK (NORTH)",2015-02-25,103,1947,29,"Squamish-Lillooet"
"WHITEROCKS MOUNTAIN",2015-02-25,105,1830,34,"Central Okanagan"
"ESPERON CR (UPPER)",2015-02-25,70,1650,31,"Central Okanagan"
"MACDONALD LAKE",2015-02-25,95,1740,32,"Central Okanagan"
"LIGHTNING LAKE",2015-02-25,67,1220,30,"Okanagan-Similkameen"
"TUTIZZI LAKE",2015-02-25,88,1045,26,"Peace River"
"TSAYDAYCHI LAKE",2015-02-25,112,1190,30,"Bulkley-Nechako"
"PHILIP LAKE",2015-02-25,84,1035,28,"Thompson-Nicola"
"DEASE LAKE",2015-02-25,57,820,17,"Kitimat-Stikine"
"ISKUT",2015-02-25,24,1000,29,"Kitimat-Stikine"
"HANSARD",2015-02-26,70,608,31,"Fraser-Fort George"
"SINCLAIR PASS",2015-02-26,31,1370,26,"East Kootenay"
"SULLIVAN MINE",2015-02-26,54,1550,26,"East Kootenay"
"HEATHER MOUNTAIN",2015-02-26,0,1170,NA,"Columbia-Shuswap"
"WEDEENE RIVER SOUTH",2015-02-26,88,300,38,"Kitimat-Stikine"
"WARE (LOWER)",2015-02-26,74,970,25,"Peace River"
"NINGUNSAW PASS",2015-02-26,70,690,30,"Kitimat-Stikine"
"TERRACE AIRPORT",2015-02-26,28,1805,38,"Kitimat-Stikine"
"TELEGRAPH CREEK",2015-02-26,32,580,26,"Kitimat-Stikine"
"KICKING HORSE",2015-02-27,81,1650,27,"Columbia-Shuswap"
"KIDPRICE LAKE",2015-02-27,224,1370,36,"Bulkley-Nechako"
"MONASHEE PASS",2015-02-28,78,1370,32,"North Okanagan"
"BLUEJOINT MOUNTAIN",2015-02-28,140,2040,33,"Kootenay Boundary"
"BROOKMERE",2015-02-28,40,980,34,"Thompson-Nicola"
"HORSEFLY MOUNTAIN",2015-02-28,116,1550,36,"Cariboo"
"WHATSHAN (UPPER)",2015-02-28,122,1525,38,"Central Kootenay"
"SANDON",2015-02-28,66,1070,37,"Central Kootenay"
"MOUNT KOBAU",2015-02-28,63,1810,31,"Okanagan-Similkameen"
"BOULEAU LAKE",2015-02-28,52,1400,39,"North Okanagan"
"MOUNT TIMOTHY",2015-03-01,77,1660,26,"Cariboo"
"DUFFEY LAKE",2015-03-01,69,1200,40,"Squamish-Lillooet"
"DEADMAN RIVER",2015-03-01,39,1430,28,"Thompson-Nicola"
"DUNCAN LAKE NO. 2",2015-03-01,36,630,41,"Bulkley-Nechako"
"ATLIN LAKE",2015-03-01,28,NA,24,"Kitimat-Stikine"
"MCKENDRICK CREEK",2015-03-02,87,1050,31,"Bulkley-Nechako"
"MOUNT COKELY",2015-03-03,16,1190,9,"Nanaimo"
"BURNS LAKE",2015-03-04,69,800,28,"Bulkley-Nechako"
"RECORD MOUNTAIN",2015-03-04,117,1890,36,"Kootenay Boundary"
"CARMI",2015-03-05,29,1250,23,"Kootenay Boundary"
"NAZKO",2015-03-05,47,1070,28,"Cariboo"
"FORT ST. JOHN AIRPORT",2015-03-06,65,690,20,"Peace River"
"MOUNT ABBOT",2015-03-26,268,2010,36,"Columbia-Shuswap"
"WEDEENE RIVER SOUTH",2015-03-26,49,300,42,"Kitimat-Stikine"
"LOST HORSE MOUNTAIN",2015-03-27,75,1920,32,"Okanagan-Similkameen"
"CAVERHILL LAKE NEW",2015-03-28,47,NA,40,"Thompson-Nicola"
"ESPERON CR (MIDDLE)",2015-03-28,55,1430,41,"Central Okanagan"
"TACHEK CREEK",2015-03-29,84,1140,29,"Bulkley-Nechako"
"KNUDSEN LAKE",2015-03-30,203,1602,40,"Fraser-Fort George"
"BARNES CREEK",2015-03-30,111,1620,37,"North Okanagan"
"ST. LEON CREEK",2015-03-30,282,1860,41,"Central Kootenay"
"MOUNT SHEBA",2015-03-30,215,1490,39,"Fraser-Fort George"
"KAZA LAKE",2015-03-31,110,1250,31,"Kitimat-Stikine"
"BURNS LAKE",2015-03-31,42,800,30,"Bulkley-Nechako"
"MOUNT WELLS",2015-03-31,185,1490,33,"Bulkley-Nechako"
"TAHTSA LAKE",2015-03-31,315,1300,37,"Bulkley-Nechako"
"NUTLI LAKE",2015-03-31,158,1490,33,"Bulkley-Nechako"
"HIGHLAND VALLEY",2015-03-31,68,1510,34,"Thompson-Nicola"
